date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-13,25,0.0684931506849315,128,0.17267594380236348,-0.3517080998880729,1.8876998544760277,0.012733404550893342
2023-02-13,28,0.07671232876712329,95,0.16874802782005222,-0.41951683231915804,1.950410792024748,0.008308170988833808
2023-02-13,29,0.07945205479452055,47,0.1792136203406872,-0.38462397869249926,1.6903642802558014,0.011589130931806734
2023-02-13,32,0.08767123287671233,532,0.15902644322000167,-0.28882985867954925,2.505115101315305,0.026190616874007543
2023-02-13,35,0.0958904109589041,50,0.1771342786568952,-0.4544250946269359,1.6084469442726508,0.009097771438346806
2023-02-13,39,0.10684931506849316,89,0.18785593861760105,-0.5662452535852458,1.5436429712556772,0.009808262780230132
2023-02-13,46,0.12602739726027398,296,0.17868832958941108,-0.4751667223106428,1.6432554505961476,0.0160259595798601
2023-02-13,60,0.1643835616438356,73,0.185824351855123,-0.6469479992245909,1.4049524660762396,0.003975932892313931
2023-02-13,67,0.18356164383561643,553,0.17902974442171232,-0.5682210180404189,1.6554489946998998,0.010607850396653488
2023-02-13,74,0.20273972602739726,282,0.18328322653346546,-0.6872177742910828,1.5219040466328286,0.006729049609062743
2023-02-13,95,0.2602739726027397,504,0.18289615961761602,-0.6228686989720466,1.4212312378585996,0.009828379161017519
2023-02-13,107,0.29315068493150687,155,0.18621542180658507,-0.7293995635545963,1.1846044017713027,0.007694508141495724
2023-02-13,123,0.336986301369863,465,0.18734805073277222,-0.682049583006778,1.2528481844126136,0.006831511453241568
2023-02-13,137,0.37534246575342467,314,0.1911061722850457,-0.7615090937966825,1.1656703892445697,0.0061163412715154256
2023-02-13,158,0.4328767123287671,201,0.19088203552959884,-0.7401248894886464,1.20252227661562,0.0034868772762504867
2023-02-13,168,0.4602739726027397,126,0.1921487128861435,-0.7580579620318322,1.1529184527927412,0.004286252611194019
2023-02-13,186,0.5095890410958904,121,0.1931450295225415,-0.7550342689972424,1.0803134897259394,0.004748668877886799
2023-02-13,214,0.5863013698630137,130,0.19414117597916994,-0.7533780890095233,1.000263770760524,0.00687183688175747
2023-02-13,228,0.6246575342465753,99,0.1982616894212779,-0.7987563405535715,0.9677246200788873,0.0036830811149154053
2023-02-13,249,0.6821917808219178,107,0.19819189065981382,-0.7730283006549087,0.9869116208126312,0.005903408695595828
2023-02-13,277,0.7589041095890411,110,0.20087266061799053,-0.7848388016866027,0.8777381022142596,0.004754098605460015
2023-02-13,305,0.8356164383561644,152,0.19927102909796174,-0.7727863743426376,0.8404313263781638,0.005645924525867059
2023-02-13,319,0.873972602739726,97,0.19062167198535662,-0.6924800624790128,1.0597411192345394,0.020815763899004
2023-02-13,340,0.9315068493150684,115,0.2021018580785608,-0.7910324981922847,0.8437120569660554,0.0037892021264091156
2023-02-13,368,1.0082191780821919,116,0.20461690172262356,-0.8042742336643731,0.7404786980475071,0.008072816797120987
2023-02-13,396,1.084931506849315,116,0.20448680773317707,-0.8028788593548895,0.6774990803029814,0.01036993693185383
2023-02-13,494,1.3534246575342466,102,0.20899354989031174,-0.8173734219040021,0.5890241972440943,0.00726223520231003
2023-02-13,676,1.8520547945205479,58,0.2033723190493488,-0.7299571146836292,0.5152259960751946,0.008091580815998858
2023-02-13,1040,2.8493150684931505,60,0.19538186841691038,-0.7007273582855964,0.5012869604330987,0.027984291532600757
2023-02-13,1404,3.8465753424657536,62,0.19364764697160183,-0.6794709090066428,0.501645873921569,0.030418614011356173
2023-02-13,1768,4.843835616438356,52,0.19847638420114722,-0.6887146747315251,0.449431026106279,0.025150803953453513
2023-02-14,1,0.0027397260273972603,118,0.14077329573122502,-0.16319027417190868,17.979665924073167,0.038119261720589465
2023-02-14,2,0.005479452054794521,140,0.109967638083475,-0.616719091139781,19.421501815121527,0.04505091687529626
2023-02-14,3,0.00821917808219178,635,0.12161937141163248,-0.6037861809952936,16.380196906922635,0.08508069171114566
2023-02-14,7,0.019178082191780823,118,0.11343857683666746,-0.37139410611221746,7.383881818640493,0.02560485981854471
2023-02-14,8,0.021917808219178082,118,0.12763102489654163,-0.3326867018387592,6.055386144154076,0.019015010227120436
2023-02-14,9,0.024657534246575342,125,0.11480078121604397,-0.5053792476886153,7.7259062330425206,0.03447654794449969
2023-02-14,10,0.0273972602739726,190,0.1136012271927172,-0.5105574442909576,7.115127216265185,0.030519904310941637
2023-02-14,13,0.03561643835616438,124,0.13180992218697965,-0.3864740694396809,4.603539826933863,0.01624578039387643
2023-02-14,14,0.038356164383561646,282,0.13320573861464166,-0.45896914031955177,4.210750917522664,0.018519748687028284
2023-02-14,15,0.0410958904109589,105,0.1464431163994449,-0.4278690631953354,3.6032235398436048,0.0074622778082695206
2023-02-14,16,0.043835616438356165,116,0.12900940301787844,-0.4770144524865093,5.144765587466304,0.02644379387726843
2023-02-14,17,0.04657534246575343,168,0.14460825781354422,-0.49639315637534154,3.894702268123537,0.013002785266571363
2023-02-14,20,0.0547945205479452,119,0.1440096795131318,-0.444299019887804,3.18489754511088,0.006994680246363314
2023-02-14,21,0.057534246575342465,85,0.14991298632098346,-0.4527782822642269,3.1545229361863165,0.007244362789050314
2023-02-14,22,0.06027397260273973,89,0.15113179627343343,-0.4996558025765951,3.0533689663009067,0.007831706403522409
2023-02-14,23,0.06301369863013699,87,0.13555625108181224,-0.5179402819859571,4.188688389771612,0.02394542282525208
2023-02-14,24,0.06575342465753424,152,0.15567269438072012,-0.49849743920621176,3.023666093605999,0.010047272146048912
2023-02-14,27,0.07397260273972603,106,0.15472709021788875,-0.5055332526227998,2.671414268148557,0.006211309906861264
2023-02-14,28,0.07671232876712329,54,0.16821835679699432,-0.4438434640656302,2.087116601004747,0.00777114642281683
